id_producto,nombre_marca,nombre_reciclaje,nombre_empresa,nombre_productos_clasificacion,nombre,gramos_envase,formato,unidad,unidad_real,cantidad,texto,cluster300,label300,label,categoria,nombre_productos_clasificacion_pred,categoria_pred,nombre_reciclaje_pred,unidad_real_pred
44,celebrite,VIDRIO,CELEBRITE,"LICORES, CERVEZAS Y  VINOS",Espumante Celebrite Extra Brut  cc,800,,,,,espumante celebrite extra brut,114,Brut Espumante,Brut Espumante,VIDRIOS,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,CC
55,viñamar,VIDRIO,CCU,"LICORES, CERVEZAS Y  VINOS",Viña Mar Extra Brut,800,,,,,viña mar extra brut,43,,Brut Viña,VIDRIOS,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
137,viñamar,VIDRIO,CCU,"LICORES, CERVEZAS Y  VINOS",VINO ESPUMANTE EXTRA BRUT,800,750CC,CC,CC,750,vino espumante extra brut,114,Brut Espumante,Brut Espumante,VIDRIOS,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,CC
4839,alto del carmen,VIDRIO,,"LICORES, CERVEZAS Y  VINOS",Pisco Alto del Carmen LT Alto Especial,800,,,,,pisco alto carmen alto especial,130,Pisco,Pisco,VIDRIOS,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
14,mistral,VIDRIO,CCU,"LICORES, CERVEZAS Y  VINOS",PISCO  ESPECIAL AÑEJADO EN ROBLE BOTELLA,800,750CC,CC,CC,750,pisco especial añejado roble botella,130,Pisco,Pisco,VIDRIOS,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,CC
1566,corona,,CORONA,"LICORES, CERVEZAS Y  VINOS",CERVEZA Corona  Cc,800,INDIVIDUAL,INDIVIDUAL,,,cerveza corona,6,Cerveza,Cerveza,,"LICORES, CERVEZAS Y  VINOS",LATAS Y METALES,ALUMINIO,CC
2669,tres erres,,CCU,"LICORES, CERVEZAS Y  VINOS",Pisco Reservado Con Corcho  Gl,800,ERRES,ERRES,,,pisco reservado corcho,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2679,tres erres,,CCU,"LICORES, CERVEZAS Y  VINOS",Pisco Tres Erres  Gl,800,ERRES,ERRES,,,pisco tres erres,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2683,espiritu de los andes,,CCU,"LICORES, CERVEZAS Y  VINOS",Pisco Espiritu De Los Andes  Gl,800,DE,DE,,,pisco espiritu andes,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2684,absolut,,CCU,"LICORES, CERVEZAS Y  VINOS",Vodka Citron  Gl,800,750ML,ML,ML,750,vodka citron,82,Vodka,Vodka,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2690,campanario,,CCU,"LICORES, CERVEZAS Y  VINOS",Pisco Campanario Piña Colada  Gl,800,700ML,ML,ML,700,pisco campanario piña colada,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2691,sabor,,,"LICORES, CERVEZAS Y  VINOS",Pisco Sour Sabor Andino Mango  Gl,800,ANDINO,ANDINO,,,pisco sour sabor andino mango,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2692,campanario,,CCU,"LICORES, CERVEZAS Y  VINOS",Pisco Campanario Blanco ,800,1LT,LT,LT,1,pisco campanario blanco,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,LT
2695,mistral,,CCU,"LICORES, CERVEZAS Y  VINOS",Pisco Mistral  Gl,800,1LT,LT,LT,1,pisco mistral,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,LT
2696,havana club,,CCU,"LICORES, CERVEZAS Y  VINOS",Ron Havana Club Especial  Gl,800,CLUB,CLUB,,,ron havana club especial,238,Ron,Ron,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2697,sierra morena,,CCU,"LICORES, CERVEZAS Y  VINOS",Ron Extra Añejado  Gl,800,MORENA,MORENA,,,ron extra añejado,238,Ron,Ron,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2705,mistral,,CCU,"LICORES, CERVEZAS Y  VINOS",Pisco mistral bipack ,800,750ML,ML,ML,750,pisco mistral bipack,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2706,mistral,,CCU,"LICORES, CERVEZAS Y  VINOS",Pisco Mistral Gran Nobel  Gl,800,700ML,ML,ML,700,pisco mistral gran nobel,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2707,havana club,,CCU,"LICORES, CERVEZAS Y  VINOS",Ron Añejo Especial  Gl,800,CLUB,CLUB,,,ron añejo especial,238,Ron,Ron,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
