id_producto;id_marca;nombre_marca;id_empresa;nombre_empresa;id_reciclaje;nombre_reciclaje;id_producto_clasificacion;nombre_productos_clasificacion;nombre;codigo;co2;agua;gramos_envase;tipo_tapa;gramos_tapa;descripcion;unidad;imagen;nombre_usuario;envase;descripcion_envase;formato;tipo;pais;ciclo_reciclaje;numero_reciclaje;tapa;recicla_tapa;ancho_cm;largo_cm;alto_cm;estado;created_at;updated_at;subclasificacion;is_new;is_validado;is_completo;promedio;origen;informacion
1;1;Tottus;NULL;TOTTUS;36;OTRO;3;DESPENSA;Oregano;7.80241E+12;2.50;0.20;1.00;NULL;1.00;Lorem ipsum dolor sit amet consectetur adipiscing elit etiam himenaeos varius per parturient pharetra rutrum eros sagittis sed, placerat feugiat vestibulum ultricies non donec quam dui magnis purus et mus scelerisque penatibus leo.;Kg;v60yQHWshWtrBGjvUM9OYUWjXGhEQl.jpg;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;1;03-03-21 13:05;21-03-21 20:16;NULL;0;1;0;NULL;NULL;NULL
2;2;Raid;NULL;RAID;31;HOJALATA;1;ASEO Y LIMPIEZA;MATA MOSCAS, MOSQUITOS Y ZANCUDOS;424332;0.35;0.40;1.00;;1.00;MATA MOSCAS, MOSQUITOS Y ZANCUDOS;G;PJVH0RXqfA5XVCA6FSWrYXS1IUi7BO.png;MATA INSECTOS;;AEROSOLES;222G;AEROSOLES;Alemania;;;;;1;1;1;1;20-03-21 23:24;08-09-21 00:38;METALES;0;1;0;NULL;NULL;NULL
3;3;Tanax;NULL;TANAX;31;HOJALATA;1;ASEO Y LIMPIEZA;ANTI BAC Desinfectante;7.8053E+12;0.45;0.30;1.00;NULL;1.00;NULL;Kg;nuFCeycQ6DYP3Ui2NqZC38I7vWZqDg.png;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;1;21-03-21 20:23;21-03-21 20:23;NULL;0;1;0;NULL;NULL;NULL
4;4;Simond's;NULL;SIMOND'S;36;OTRO;1;ASEO Y LIMPIEZA;Jabón Glicerina HIGIENIC;7.80495E+12;0.10;0.23;1.00;NULL;1.00;NULL;Kg;06ViOxyYgRo4XCCjVXqzpGAxa4xKPW.png;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;1;21-03-21 21:08;21-03-21 21:14;NULL;0;1;0;NULL;NULL;NULL
5;5;Sanyfarm;NULL;SANYFARM;31;HOJALATA;1;ASEO Y LIMPIEZA;ALCOHOL MICROFILTRADO 70º AEROSOL;7.80461E+12;0.20;0.10;1.00;;1.00;ALCOHOL MICROFILTRADO 70º AEROSOL;CC;utP6aPA2Clt395hYeQ5eWAvJu7tbZX.png;ALCOHOL MICROFILTRADO 70°;AEROSOL;AEROSOLES;350CC;AEROSOL;Chile;;;;;1;1;1;1;21-03-21 21:16;08-09-21 00:38;METALES;0;1;0;NULL;NULL;NULL
6;420;Campanario;NULL;CCU;37;OTRO;21;LICORES, CERVEZAS Y  VINOS;Pisco Campanario Sour 20Âº Gl;7.80218E+12;0.13;0.60;1.00;;1.00;;ML;https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/img-_88PX0wd-medium.jpg;;;;700ML;;Chile;;;;;1;1;1;1;21-03-21 21:18;08-09-21 01:13;;0;1;0;NULL;NULL;NULL
7;4;Simond's;NULL;SIMOND'S;36;OTRO;1;ASEO Y LIMPIEZA;ALCOHOL PLUS SPRAY 130 ML;7.80495E+12;0.30;0.10;1.00;;1.00;ALCOHOL PLUS SPRAY 130 ML;ML;WSbiaBCd1QNWnTWrP2wEveZs67ptLg.png;SPRAY ANTIBACTERIANO;;BOTELLAS PLÁSTICAS;130ML;SPRAY;Chile;;;;;1;1;1;1;21-03-21 21:21;08-09-21 00:38;PLÁSTICOS;0;1;0;NULL;NULL;NULL
8;7;Brik's;NULL;BRIK'S;36;OTRO;1;ASEO Y LIMPIEZA;Cloro Gel Lavanda;7.80986E+11;0.20;0.30;1.00;NULL;1.00;NULL;Kg;pwIYjWojMNr5QQyZqi5E8bAK310QtC.png;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;1;21-03-21 21:23;21-03-21 21:23;NULL;0;1;0;NULL;NULL;NULL
9;25;Costa;NULL;COSTA;37;OTRO;17;DESAYUNOS, SNACKS Y  DULCES;Galleta Costa Soda Line;7.80222E+12;0.20;0.30;1.00;;1.00;;GR;https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/1028120-QFlZrwmj-medium.jpg;;;;180GR;;Chile;;;;;1;1;1;1;21-03-21 21:24;08-09-21 00:40;;0;1;0;NULL;NULL;NULL
10;329;Casa;NULL;NULL;37;OTRO;21;LICORES, CERVEZAS Y  VINOS;Vino Tinto Cabernet Sauvignon Collecion;7.80445E+12;1.00;1.20;1.00;;1.00;;SILVA;https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/20351882-HeLaDqwy-medium.jpg;;;;SILVA;;Chile;;;;;1;1;1;1;21-03-21 21:29;08-09-21 00:39;;0;1;0;NULL;NULL;NULL
11;11;Ruben aviles;NULL;RUBEN AVILES;24;VIDRIO;22;BEBIDAS, AGUAS Y JUGOS;JUGO NATURAL 100% MANZANA;7.80467E+12;0.35;1.00;1.00;;1.00;JUGO NATURAL 100% MANZANA;ML;2ghGXIZ2ifSKL4KPUZ0FoLjVF6UOFB.png;JUGO NATURAL 100% MANZANA;;BOTELLAS DE BEBIDAS;ML;JUGOS;Chile;;;;;1;1;1;1;21-03-21 21:30;08-09-21 00:38;VIDRIOS;0;1;0;NULL;NULL;NULL
12;26;Becker;NULL;COCA COLA COMPANY;36;OTRO;21;LICORES, CERVEZAS Y  VINOS;Beker Cerveza;7.8023E+11;0.12;0.10;1.00;NULL;1.00;NULL;Kg;1K9095PaUJI0oQNnn1HGGGKskIWdUg.png;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;1;21-03-21 21:32;20-01-22 16:12;NULL;0;1;0;NULL;NULL;NULL
13;13;Mistral;NULL;CCU;37;OTRO;21;LICORES, CERVEZAS Y  VINOS;Pisco Mistral 40Âº Gl;7.80218E+12;0.50;1.00;1.00;;1.00;;ML;https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/img-p-wmXa0t-medium.jpg;;;;750ML;;Chile;;;;;1;1;1;1;21-03-21 21:34;08-09-21 01:13;;0;1;0;NULL;NULL;NULL
14;13;Mistral;NULL;CCU;24;VIDRIO;21;LICORES, CERVEZAS Y  VINOS;PISCO 35° ESPECIAL AÑEJADO EN ROBLE BOTELLA;7.80218E+12;0.50;1.00;1.00;;1.00;PISCO 35° ESPECIAL AÑEJADO EN ROBLE BOTELLA;CC;H1hNo941H8gsNJUSPgzHZ4e8CXFpim.png;PISCO MISTRAL AÑEJADO 35° 750CC;BOTELLA;BOTELLAS DE BEBIDAS;750CC;LICORES;;;;;;1;1;1;1;21-03-21 21:37;08-09-21 00:38;VIDRIOS;0;1;0;NULL;NULL;NULL
15;27;Papeles y cartones;NULL;PAPELES Y CARTONES;34;CARTÓN;6;OTROS;;1E+12;100.00;1.00;1.00;;1.00;;;Teh3LlPKHDHrQ6H2ajO5q4CEGPTTcR.png;PAPELES EN KILO;;PAPELES;;;Estados Unidos y Canadá;;;;;1;1;1;1;24-03-21 02:31;08-09-21 00:38;PAPELES Y CARTONES;0;1;0;NULL;NULL;NULL
16;27;Papeles y cartones;NULL;PAPELES Y CARTONES;34;CARTÓN;6;OTROS;;1E+12;300.00;1.00;1.00;;1.00;;;jANYPp5ueec3NYwD4h18QjEgxBTPjn.png;CARTONES EN KILO;;CARTONES;;;Estados Unidos y Canadá;;;;;1;1;1;1;24-03-21 02:31;08-09-21 00:38;PAPELES Y CARTONES;0;1;0;NULL;NULL;NULL
17;22;Sin asignar;NULL;SIN ASIGNAR;25;PAPEL;6;OTROS;new poeriod;0;1.00;1.00;1.00;NULL;1.00;NULL;NULL;LLaznW1mF4s7HgxxrETx3Ziiu9Oc6V.png;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;1;25-03-21 13:31;25-03-21 13:31;NULL;0;1;0;NULL;NULL;NULL
18;22;Sin asignar;NULL;SIN ASIGNAR;25;PAPEL;6;OTROS;new;0;1.00;1.00;1.00;NULL;1.00;NULL;NULL;ub56TDocaXbEsW2eL4L39BWm2QFAn1.jpg;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;1;25-03-21 15:28;25-03-21 15:36;NULL;0;1;0;NULL;NULL;NULL
19;22;Sin asignar;NULL;SIN ASIGNAR;25;PAPEL;6;OTROS;new prof;0;1.00;1.00;1.00;NULL;1.00;NULL;NULL;RUFe2JnK29VjxbS4B0l09mtNGPNJ6m.jpg;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;1;25-03-21 15:34;25-03-21 15:36;NULL;0;1;0;NULL;NULL;NULL
