id_producto,nombre_marca,nombre_reciclaje,nombre_empresa,nombre_productos_clasificacion,nombre,gramos_envase,formato,unidad,unidad_real,cantidad,texto,cluster300,label300,label
44.0,celebrite,VIDRIO,CELEBRITE,"LICORES, CERVEZAS Y  VINOS",Espumante Celebrite Extra Brut  cc,800.0,,,,,espumante celebrite extra brut,114,Brut Espumante,Brut Espumante
55.0,viñamar,VIDRIO,CCU,"LICORES, CERVEZAS Y  VINOS",Viña Mar Extra Brut,800.0,,,,,viña mar extra brut,43,,Brut Viña
137.0,viñamar,VIDRIO,CCU,"LICORES, CERVEZAS Y  VINOS",VINO ESPUMANTE EXTRA BRUT,800.0,750CC,CC,CC,750.0,vino espumante extra brut,114,Brut Espumante,Brut Espumante
4839.0,alto del carmen,VIDRIO,,"LICORES, CERVEZAS Y  VINOS",Pisco Alto del Carmen LT Alto Especial,800.0,,,,,pisco alto carmen alto especial,130,Pisco,Pisco
14.0,mistral,VIDRIO,CCU,"LICORES, CERVEZAS Y  VINOS",PISCO  ESPECIAL AÑEJADO EN ROBLE BOTELLA,800.0,750CC,CC,CC,750.0,pisco especial añejado roble botella,130,Pisco,Pisco
1566.0,corona,,CORONA,"LICORES, CERVEZAS Y  VINOS",CERVEZA Corona  Cc,800.0,INDIVIDUAL,INDIVIDUAL,INDIVIDUAL,,cerveza corona,6,Cerveza,Cerveza
2669.0,tres erres,,CCU,"LICORES, CERVEZAS Y  VINOS",Pisco Reservado Con Corcho  Gl,800.0,ERRES,ERRES,ERRES,,pisco reservado corcho,130,Pisco,Pisco
2679.0,tres erres,,CCU,"LICORES, CERVEZAS Y  VINOS",Pisco Tres Erres  Gl,800.0,ERRES,ERRES,ERRES,,pisco tres erres,130,Pisco,Pisco
2683.0,espiritu de los andes,,CCU,"LICORES, CERVEZAS Y  VINOS",Pisco Espiritu De Los Andes  Gl,800.0,DE,DE,DE,,pisco espiritu andes,130,Pisco,Pisco
2684.0,absolut,,CCU,"LICORES, CERVEZAS Y  VINOS",Vodka Citron  Gl,800.0,750ML,ML,ML,750.0,vodka citron,82,Vodka,Vodka
2690.0,campanario,,CCU,"LICORES, CERVEZAS Y  VINOS",Pisco Campanario Piña Colada  Gl,800.0,700ML,ML,ML,700.0,pisco campanario piña colada,130,Pisco,Pisco
2691.0,sabor,,,"LICORES, CERVEZAS Y  VINOS",Pisco Sour Sabor Andino Mango  Gl,800.0,ANDINO,ANDINO,ANDINO,,pisco sour sabor andino mango,130,Pisco,Pisco
2692.0,campanario,,CCU,"LICORES, CERVEZAS Y  VINOS",Pisco Campanario Blanco ,800.0,1LT,LT,LT,1.0,pisco campanario blanco,130,Pisco,Pisco
2695.0,mistral,,CCU,"LICORES, CERVEZAS Y  VINOS",Pisco Mistral  Gl,800.0,1LT,LT,LT,1.0,pisco mistral,130,Pisco,Pisco
2696.0,havana club,,CCU,"LICORES, CERVEZAS Y  VINOS",Ron Havana Club Especial  Gl,800.0,CLUB,CLUB,CLUB,,ron havana club especial,238,Ron,Ron
2697.0,sierra morena,,CCU,"LICORES, CERVEZAS Y  VINOS",Ron Extra Añejado  Gl,800.0,MORENA,MORENA,MORENA,,ron extra añejado,238,Ron,Ron
2705.0,mistral,,CCU,"LICORES, CERVEZAS Y  VINOS",Pisco mistral bipack ,800.0,750ML,ML,ML,750.0,pisco mistral bipack,130,Pisco,Pisco
2706.0,mistral,,CCU,"LICORES, CERVEZAS Y  VINOS",Pisco Mistral Gran Nobel  Gl,800.0,700ML,ML,ML,700.0,pisco mistral gran nobel,130,Pisco,Pisco
2707.0,havana club,,CCU,"LICORES, CERVEZAS Y  VINOS",Ron Añejo Especial  Gl,800.0,CLUB,CLUB,CLUB,,ron añejo especial,238,Ron,Ron
2708.0,havana club,,CCU,"LICORES, CERVEZAS Y  VINOS",Ron Dorado Reserva  Gl,800.0,CLUB,CLUB,CLUB,,ron dorado reserva,238,Ron,Ron
2709.0,sierra morena,,CCU,"LICORES, CERVEZAS Y  VINOS",Ron Dorado Añejado  Gl,800.0,MORENA,MORENA,MORENA,,ron dorado añejado,238,Ron,Ron
2721.0,alto,,,"LICORES, CERVEZAS Y  VINOS",Pisco Alto del Carmen Especial ,800.0,DEL,DEL,DEL,,pisco alto carmen especial,130,Pisco,Pisco
2722.0,mal,,,"LICORES, CERVEZAS Y  VINOS",Pisco especial ,800.0,PASO,PASO,PASO,,pisco especial,130,Pisco,Pisco
2723.0,artesanos,,,"LICORES, CERVEZAS Y  VINOS",Pisco Especial ,800.0,DEL,DEL,DEL,,pisco especial,130,Pisco,Pisco
2724.0,el,,,"LICORES, CERVEZAS Y  VINOS",Pisco El Gobernador  Gl,800.0,GOBERNADOR,GOBERNADOR,GOBERNADOR,,pisco gobernador,130,Pisco,Pisco
2726.0,,,,"LICORES, CERVEZAS Y  VINOS",Pisco   Gl,800.0,750ML,ML,ML,750.0,pisco,130,Pisco,Pisco
2728.0,alamo,,,"LICORES, CERVEZAS Y  VINOS",Pisco Premium Alamo,800.0,750ML,ML,ML,750.0,pisco premium alamo,54,Premium,Premium
2730.0,barcelo,,,"LICORES, CERVEZAS Y  VINOS",Ron Añejo,800.0,1LT,LT,LT,1.0,ron añejo,238,Ron,Ron
2731.0,pampero,,,"LICORES, CERVEZAS Y  VINOS",Ron Pampero  Gl Selección,800.0,700ML,ML,ML,700.0,ron pampero selección,238,Ron,Ron
2735.0,mistral,,CCU,"LICORES, CERVEZAS Y  VINOS",Pisco Mistral Ice  Gl,800.0,275FOURPACKML,FOURPACKML,FOURPACKML,275.0,pisco mistral ice,130,Pisco,Pisco
2737.0,mistral,,CCU,"LICORES, CERVEZAS Y  VINOS",Pisco D.O. Nobel Mistral  Gl,800.0,750ML,ML,ML,750.0,pisco d.o nobel mistral,130,Pisco,Pisco
2738.0,mistral,,CCU,"LICORES, CERVEZAS Y  VINOS",Pack  Pisco Mistral  Gl,800.0,750ML,ML,ML,750.0,pack pisco mistral,130,Pisco,Pisco
2739.0,mistral,,CCU,"LICORES, CERVEZAS Y  VINOS",Pisco mistral ,800.0,750ML,ML,ML,750.0,pisco mistral,130,Pisco,Pisco
2743.0,zacapa,,,"LICORES, CERVEZAS Y  VINOS",Ron Zacapa Ambar  Gl,800.0,750ML,ML,ML,750.0,ron zacapa ambar,238,Ron,Ron
2746.0,cabo viejo,,,"LICORES, CERVEZAS Y  VINOS",Ron Cabo Viejo  Gl,800.0,VIEJO,VIEJO,VIEJO,,ron cabo viejo,238,Ron,Ron
2751.0,campanario,,CCU,"LICORES, CERVEZAS Y  VINOS",Pisco Lucuma Colada  Gl,800.0,700ML,ML,ML,700.0,pisco lucuma colada,130,Pisco,Pisco
2752.0,alto,,,"LICORES, CERVEZAS Y  VINOS",Pack Pisco Alto Del Carmen  Gl,800.0,DEL,DEL,DEL,,pack pisco alto carmen,130,Pisco,Pisco
2753.0,mal,,,"LICORES, CERVEZAS Y  VINOS",Pisco Mal Paso  Gl,800.0,PASO,PASO,PASO,,pisco mal paso,130,Pisco,Pisco
2754.0,mal,,,"LICORES, CERVEZAS Y  VINOS",Pisco Mal Paso Especial  Gl,800.0,PASO,PASO,PASO,,pisco mal paso especial,130,Pisco,Pisco
2755.0,tres erres,,CCU,"LICORES, CERVEZAS Y  VINOS",Pisco  Erres  ,800.0,ERRES,ERRES,ERRES,,pisco erres,130,Pisco,Pisco
2756.0,capel,,,"LICORES, CERVEZAS Y  VINOS",Pisco Doble Destilado Especial ,800.0,700CC,CC,CC,700.0,pisco doble destilado especial,130,Pisco,Pisco
2757.0,capel,,,"LICORES, CERVEZAS Y  VINOS",Pisco Doble Destilado Reservado Guarda ,800.0,700CC,CC,CC,700.0,pisco doble destilado reservado guarda,130,Pisco,Pisco
2758.0,horcon quemado,,CCU,"LICORES, CERVEZAS Y  VINOS",Pisco Horcon Quemado  Gl,800.0,QUEMADO,QUEMADO,QUEMADO,,pisco horcon quemado,0,Horcon Pisco Quemado,Horcon Pisco Quemado
2760.0,horcon quemado,,CCU,"LICORES, CERVEZAS Y  VINOS",Pisco Horcon Quemado  Gl,800.0,QUEMADO,QUEMADO,QUEMADO,,pisco horcon quemado,0,Horcon Pisco Quemado,Horcon Pisco Quemado
2761.0,artesanos,,,"LICORES, CERVEZAS Y  VINOS",Pisco Especial ,800.0,DEL,DEL,DEL,,pisco especial,130,Pisco,Pisco
2762.0,barcelo,,,"LICORES, CERVEZAS Y  VINOS",Ron Barcelo Añejo  Gl,800.0,750ML,ML,ML,750.0,ron barcelo añejo,238,Ron,Ron
2767.0,sierra morena,,CCU,"LICORES, CERVEZAS Y  VINOS",Ron Blanco . Gl,800.0,MORENA,MORENA,MORENA,,ron blanco,238,Ron,Ron
2769.0,horcon quemado,,CCU,"LICORES, CERVEZAS Y  VINOS",Pisco Horcon Quemado  Gl,800.0,QUEMADO,QUEMADO,QUEMADO,,pisco horcon quemado,0,Horcon Pisco Quemado,Horcon Pisco Quemado
2772.0,campanario,,CCU,"LICORES, CERVEZAS Y  VINOS",Pisco Campanario  Gl,800.0,700ML,ML,ML,700.0,pisco campanario,130,Pisco,Pisco
2774.0,brujas,,,"LICORES, CERVEZAS Y  VINOS",Pisco Brujas de Salamanca Especial ,800.0,DE,DE,DE,,pisco bruja salamanca especial,130,Pisco,Pisco
2776.0,tres,,,"LICORES, CERVEZAS Y  VINOS",Pisco transp. ,800.0,ERRES,ERRES,ERRES,,pisco transp,130,Pisco,Pisco
2778.0,bauza,,,"LICORES, CERVEZAS Y  VINOS",Pisco Especial  Gl,800.0,750ML,ML,ML,750.0,pisco especial,130,Pisco,Pisco
2784.0,bacardi,,,"LICORES, CERVEZAS Y  VINOS",Ron bacardi oakhearth  Gl,800.0,750ML,ML,ML,750.0,ron bacardi oakhearth,238,Ron,Ron
2785.0,campanario,VIDRIO,CCU,"LICORES, CERVEZAS Y  VINOS",Pisco Campanario Sour Light  Gl,800.0,700ML,ML,ML,700.0,pisco campanario sour light,130,Pisco,Pisco
2786.0,campanario,,CCU,"LICORES, CERVEZAS Y  VINOS",Pisco Campanario Mango Light  Gl,800.0,700ML,ML,ML,700.0,pisco campanario mango light,130,Pisco,Pisco
2788.0,campanario,,CCU,"LICORES, CERVEZAS Y  VINOS",Pisco Campanario Pica  Gl,800.0,700ML,ML,ML,700.0,pisco campanario pica,130,Pisco,Pisco
2789.0,campanario,,CCU,"LICORES, CERVEZAS Y  VINOS",Pisco Sour Maracuya  Gl,800.0,700ML,ML,ML,700.0,pisco sour maracuya,130,Pisco,Pisco
2796.0,sabor,,,"LICORES, CERVEZAS Y  VINOS",Pisco sour mango  gl,800.0,ANDINO,ANDINO,ANDINO,,pisco sour mango,130,Pisco,Pisco
2801.0,ruta,,,"LICORES, CERVEZAS Y  VINOS",Pisco Sour Mango  Gl,800.0,NORTE,NORTE,NORTE,,pisco sour mango,130,Pisco,Pisco
2803.0,artesanos,,,"LICORES, CERVEZAS Y  VINOS",Pisco Sour Limón ,800.0,DEL,DEL,DEL,,pisco sour limón,130,Pisco,Pisco
