nombre_marca,id_reciclaje
35,1
100,1
120,10
1724,1
1733,1
1865,2
.,2
7up,1
Absolut,8
Ace,1
Aconcagua,3
Activia,6
Acuenta,12
Adecoco,1
Ades,4
Adler,1
Adobe,2
Afe,4
Agriform,1
Agrosano,1
Agua,1
Airwick,10
Akbar,1
Alacena,1
Alamo,1
Alcafood,2
Alex,2
Alhambra,3
Almonddream,1
Altair,1
Alternative,2
Alto,4
Alto del carmen,1
Aluhome,5
Aluplast,1
Alusa,1
Ama,5
Amaranta,4
Amarula,1
Ambassador,2
Ambrosoli,39
American classic,2
Ammens kids,1
Andes,1
Andina,12
Ansaldo games,1
Antartic,1
Anti bac,1
Antillanca,1
Antioqueno,1
Aqua,1
Arboleda,2
Arcor,21
Ariel,11
Arizona,2
Ariztia,3
Arom,8
Aromo,7
Arsenalnoye,1
Artesanos,5
Astra,1
Astures,1
Atelier,1
Austral,21
Autoritas,1
Avène,1
Bacardi,4
Badia,1
Bagley,1
Ballantines,3
Ballerina,5
Baltica,1
Banquete,23
Barcelo,2
Barilla,9
Basulip,1
Batifrut,1
Bauza,1
Baygon,3
Becker,15
Becks,2
Beefeater,1
Bellaholandesa,2
Belmont,8
Benedictino,5
Bestia,4
Betty,1
Bilz,5
Biofoods,3
Biofrescura,3
Bisquertt,3
Black,3
Blue,1
Bluemoon,1
Bodega,2
Bodyshop,1
Bombay,2
Bonanza,1
Bonella,1
Branca,1
Brasso,1
Bravocream,5
Breda,2
Bresler,17
Brik's,2
Brillina,2
Brown,1
Brujas,1
Bs secret,1
Budlight,2
Budweiser,14
Buka,1
C,1
Cabo Viejo,1
Cachaca,1
Cachantun,12
Cafe,2
Caiti,3
Calaf,4
Calan,7
Caliterra,1
Callaqui,3
Calo,32
Campanario,12
Campari,1
Canada,1
Canada dry,2
Canepa,2
Capel,3
Carbonell,6
Carlsberg,4
Carmen,16
Carozzi,39
Casa,14
Casa Silva,1
Casabella,1
Casal,1
Casas,3
Casillero,10
Casona,1
Castano,1
Castapeteroa,4
Castillo de Molina,4
Celebrite,3
Cerealitas,1
Chamonix,3
Chandon,1
Chef,15
Chimay,2
Chivas Regal,2
Cif,12
Cinta,2
Cinzano,1
Cisne,1
Clausthaler,4
Clorinda,4
Clorox,12
Clos,3
Club,3
Coca cola,21
Cocalan,1
Cock,2
Coconutdream,1
Cola,7
Colacao,12
Colgate,2
Coliseo,4
Coliumo,2
Colmenares,1
Colun,131
Conales,1
Concha,1
Confort,4
Cono,5
Coors,11
Copacabana,1
Copihue hogar,2
Coppelia,2
Cordillera,1
Corona,15
Coronita,1
Costa,77
Cottonelle,1
Cousino,1
Criadores,2
Cristal,17
Cristales,5
Crush,4
Cruzeiro,1
Cua,1
Cuisine & co,3
Cusqueña,14
Cygan,1
Dab,1
Daily,13
Danone,8
Danonemoments,6
Dantza,1
De,3
Del,4
Del valle,2
Delaviuda,5
Delirium,3
Delpuerto,8
Delverde,1
